,stimulation,population,feature,time,p.value,FDR
IFNa_Baso +++_S6_V4a,IFNa,Baso +++,S6,V4a,0.481229515,0.926387789
IFNa_CD4Tem_STAT3_V4a,IFNa,CD4Tem,STAT3,V4a,0.481229515,0.926387789
IFNa_CD56brightCD16neg-NK_ERK_V4a,IFNa,CD56brightCD16neg-NK,ERK,V4a,0.481229515,0.926387789
IFNa_CD56brightCD16neg-NK_S6_V4a,IFNa,CD56brightCD16neg-NK,S6,V4a,0.481229515,0.926387789
IFNa_CD56dimCD16pos-NK_NFkB_V4a,IFNa,CD56dimCD16pos-NK,NFkB,V4a,0.481229515,0.926387789
IFNa_CD8Tem_IkB_V4a,IFNa,CD8Tem,IkB,V4a,0.481229515,0.926387789
IFNa_CD8Tnaive_S6_V4a,IFNa,CD8Tnaive,S6,V4a,0.481229515,0.926387789
IFNa_Granulocytes_pSTAT6_V4a,IFNa,Granulocytes,pSTAT6,V4a,0.481229515,0.926387789
IFNa_NK-Tcells_ERK_V4a,IFNa,NK-Tcells,ERK,V4a,0.481229515,0.926387789
IFNa_Th1mem_STAT1_V4a,IFNa,Th1mem,STAT1,V4a,0.481229515,0.926387789
IFNa_Th2_Frequency_V4a,IFNa,Th2,Frequency,V4a,0.481229515,0.926387789
IL246_CD4Tnaive_STAT1_V4a,IL246,CD4Tnaive,STAT1,V4a,0.481229515,0.926387789
IL246_Eosino_NFkB_V4a,IL246,Eosino,NFkB,V4a,0.481229515,0.926387789
IL246_Tregmem_IkB_V4a,IL246,Tregmem,IkB,V4a,0.481229515,0.926387789
LPS_CD4Tnaive_MAPKAPK2_V4a,LPS,CD4Tnaive,MAPKAPK2,V4a,0.481229515,0.926387789
LPS_Th1mem_pSTAT6_V4a,LPS,Th1mem,pSTAT6,V4a,0.481229515,0.926387789
LPS_Th2_CREB_V4a,LPS,Th2,CREB,V4a,0.481229515,0.926387789
TNFa_Baso_NFkB_V4a,TNFa,Baso,NFkB,V4a,0.481229515,0.926387789
TNFa_CD4Tcm_NFkB_V4a,TNFa,CD4Tcm,NFkB,V4a,0.481229515,0.926387789
TNFa_CD56brightCD16neg-NK_S6_V4a,TNFa,CD56brightCD16neg-NK,S6,V4a,0.481229515,0.926387789
TNFa_CD56dimCD16pos-NK_ERK_V4a,TNFa,CD56dimCD16pos-NK,ERK,V4a,0.481229515,0.926387789
TNFa_CD56dimCD16pos-NK_IkB_V4a,TNFa,CD56dimCD16pos-NK,IkB,V4a,0.481229515,0.926387789
TNFa_Granulocytes_ERK_V4a,TNFa,Granulocytes,ERK,V4a,0.481229515,0.926387789
TNFa_Th2_IkB_V4a,TNFa,Th2,IkB,V4a,0.481229515,0.926387789
TNFa_Treg_Frequency_V4a,TNFa,Treg,Frequency,V4a,0.481229515,0.926387789
Unstim_mDC_NFkB_V4a,Unstim,mDC,NFkB,V4a,0.481229515,0.926387789
Unstim_mDC_STAT3_V4a,Unstim,mDC,STAT3,V4a,0.481229515,0.926387789
Unstim_pDC_CREB_V4a,Unstim,pDC,CREB,V4a,0.481229515,0.926387789
Unstim_CD8Tcm_IkB_V4b,Unstim,CD8Tcm,IkB,V4b,0.481229515,0.831203703
Unstim_mDC_MAPKAPK2_V4b,Unstim,mDC,MAPKAPK2,V4b,0.481229515,0.831203703
Unstim_Th1naive_Frequency_V4b,Unstim,Th1naive,Frequency,V4b,0.481229515,0.831203703
Unstim_Baso_IkB_V5,Unstim,Baso,IkB,V5,0.481229515,0.923554663
Unstim_Bcells_NFkB_V5,Unstim,Bcells,NFkB,V5,0.481229515,0.923554663
Unstim_CD56dimCD16pos-NK_CREB_V5,Unstim,CD56dimCD16pos-NK,CREB,V5,0.481229515,0.923554663
Unstim_Th2_Frequency_V5,Unstim,Th2,Frequency,V5,0.481229515,0.923554663
Unstim_Tregmem_NFkB_V5,Unstim,Tregmem,NFkB,V5,0.481229515,0.923554663
IFNa_Eosino_STAT5_V4a,IFNa,Eosino,STAT5,V4a,0.482771919,0.926387789
IL1B_CD4Tnaive_STAT5_V4a,IL1B,CD4Tnaive,STAT5,V4a,0.482771919,0.926387789
IL1B_ncMC_S6_V4a,IL1B,ncMC,S6,V4a,0.482771919,0.926387789
IL1B_Tregmem_Frequency_V4a,IL1B,Tregmem,Frequency,V4a,0.482771919,0.926387789
IL246_Th1mem_STAT3_V4a,IL246,Th1mem,STAT3,V4a,0.482771919,0.926387789
Unstim_Th1mem_IkB_V5,Unstim,Th1mem,IkB,V5,0.482771919,0.923554663
Unstim_Tregnaive_STAT3_V4b,Unstim,Tregnaive,STAT3,V4b,0.484025727,0.831203703
Unstim_Th1naive_p38_V5,Unstim,Th1naive,p38,V5,0.484025727,0.923554663
TNFa_Th1mem_IkB_V4a,TNFa,Th1mem,IkB,V4a,0.485964345,0.926387789
TNFa_Th1mem_NFkB_V4a,TNFa,Th1mem,NFkB,V4a,0.485964345,0.926387789
Unstim_CD8Trm_CREB_V4b,Unstim,CD8Trm,CREB,V4b,0.486369969,0.831203703
IL1B_CD4Tnaive_CREB_V4a,IL1B,CD4Tnaive,CREB,V4a,0.488214279,0.926387789
TNFa_NK-Tcells_STAT5_V4a,TNFa,NK-Tcells,STAT5,V4a,0.493000533,0.926387789
IL246_Baso +++_ERK_V4a,IL246,Baso +++,ERK,V4a,0.493493876,0.926387789
Unstim_Th1naive_p38_V4a,Unstim,Th1naive,p38,V4a,0.494015012,0.926387789
Unstim_Th17_STAT3_V4b,Unstim,Th17,STAT3,V4b,0.495386204,0.841743311
Unstim_CD56brightCD16neg-NK_STAT5_V4a,Unstim,CD56brightCD16neg-NK,STAT5,V4a,0.495803758,0.926387789
Unstim_Baso_MAPKAPK2_V5,Unstim,Baso,MAPKAPK2,V5,0.495803758,0.923554663
PI_CD4Trm_STAT5_V4a,PI,CD4Trm,STAT5,V4a,0.495846292,0.926387789
PI_gdT_NFkB_V4a,PI,gdT,NFkB,V4a,0.495846292,0.926387789
PI_mDC_Frequency_V4a,PI,mDC,Frequency,V4a,0.495846292,0.926387789
PI_Treg_NFkB_V4a,PI,Treg,NFkB,V4a,0.495846292,0.926387789
PI_Tregmem_NFkB_V4a,PI,Tregmem,NFkB,V4a,0.495846292,0.926387789
IL1B_Th1mem_STAT3_V4a,IL1B,Th1mem,STAT3,V4a,0.50041033,0.926387789
IFNa_Baso +++_p38_V4a,IFNa,Baso +++,p38,V4a,0.501010594,0.926387789
IFNa_CD4Tem_STAT1_V4a,IFNa,CD4Tem,STAT1,V4a,0.501010594,0.926387789
IFNa_CD4Tnaive_NFkB_V4a,IFNa,CD4Tnaive,NFkB,V4a,0.501010594,0.926387789
IFNa_CD8Tcm_STAT3_V4a,IFNa,CD8Tcm,STAT3,V4a,0.501010594,0.926387789
IFNa_intMC_CREB_V4a,IFNa,intMC,CREB,V4a,0.501010594,0.926387789
IFNa_intMC_MAPKAPK2_V4a,IFNa,intMC,MAPKAPK2,V4a,0.501010594,0.926387789
IFNa_MDSC_STAT1_V4a,IFNa,MDSC,STAT1,V4a,0.501010594,0.926387789
IFNa_ncMC_pSTAT6_V4a,IFNa,ncMC,pSTAT6,V4a,0.501010594,0.926387789
IFNa_Th17_CREB_V4a,IFNa,Th17,CREB,V4a,0.501010594,0.926387789
IFNa_Th1mem_IkB_V4a,IFNa,Th1mem,IkB,V4a,0.501010594,0.926387789
IFNa_Th2_ERK_V4a,IFNa,Th2,ERK,V4a,0.501010594,0.926387789
IFNa_Tregmem_STAT3_V4a,IFNa,Tregmem,STAT3,V4a,0.501010594,0.926387789
IL246_CD8Trm_MAPKAPK2_V4a,IL246,CD8Trm,MAPKAPK2,V4a,0.501010594,0.926387789
IL246_cMC_IkB_V4a,IL246,cMC,IkB,V4a,0.501010594,0.926387789
LPS_CD8Tem_CREB_V4a,LPS,CD8Tem,CREB,V4a,0.501010594,0.926387789
LPS_cMC_ERK_V4a,LPS,cMC,ERK,V4a,0.501010594,0.926387789
LPS_cMC_S6_V4a,LPS,cMC,S6,V4a,0.501010594,0.926387789
LPS_Th1mem_MAPKAPK2_V4a,LPS,Th1mem,MAPKAPK2,V4a,0.501010594,0.926387789
LPS_Treg_NFkB_V4a,LPS,Treg,NFkB,V4a,0.501010594,0.926387789
LPS_Tregmem_pSTAT6_V4a,LPS,Tregmem,pSTAT6,V4a,0.501010594,0.926387789
LPS_Tregmem_STAT5_V4a,LPS,Tregmem,STAT5,V4a,0.501010594,0.926387789
TNFa_CD4Tnaive_ERK_V4a,TNFa,CD4Tnaive,ERK,V4a,0.501010594,0.926387789
TNFa_gdT_MAPKAPK2_V4a,TNFa,gdT,MAPKAPK2,V4a,0.501010594,0.926387789
TNFa_mDC_STAT5_V4a,TNFa,mDC,STAT5,V4a,0.501010594,0.926387789
TNFa_MDSC_STAT3_V4a,TNFa,MDSC,STAT3,V4a,0.501010594,0.926387789
TNFa_MDSC_STAT5_V4a,TNFa,MDSC,STAT5,V4a,0.501010594,0.926387789
TNFa_NK-Tcells_CREB_V4a,TNFa,NK-Tcells,CREB,V4a,0.501010594,0.926387789
TNFa_NK-Tcells_S6_V4a,TNFa,NK-Tcells,S6,V4a,0.501010594,0.926387789
TNFa_pDC_MAPKAPK2_V4a,TNFa,pDC,MAPKAPK2,V4a,0.501010594,0.926387789
TNFa_Th17_MAPKAPK2_V4a,TNFa,Th17,MAPKAPK2,V4a,0.501010594,0.926387789
TNFa_Th17_S6_V4a,TNFa,Th17,S6,V4a,0.501010594,0.926387789
Unstim_MDSC_STAT3_V4a,Unstim,MDSC,STAT3,V4a,0.501010594,0.926387789
Unstim_Th1naive_S6_V4a,Unstim,Th1naive,S6,V4a,0.501010594,0.926387789
Unstim_CD56dimCD16pos-NK_MAPKAPK2_V4b,Unstim,CD56dimCD16pos-NK,MAPKAPK2,V4b,0.501010594,0.841743311
Unstim_Th2_STAT5_V4b,Unstim,Th2,STAT5,V4b,0.501010594,0.841743311
Unstim_Baso_S6_V5,Unstim,Baso,S6,V5,0.501010594,0.923554663
Unstim_Th17_IkB_V5,Unstim,Th17,IkB,V5,0.501010594,0.923554663
Unstim_Th2_STAT3_V5,Unstim,Th2,STAT3,V5,0.501010594,0.923554663
IL1B_CD4Tem_ERK_V4a,IL1B,CD4Tem,ERK,V4a,0.503446503,0.926387789
IL1B_CD4Tnaive_MAPKAPK2_V4a,IL1B,CD4Tnaive,MAPKAPK2,V4a,0.503446503,0.926387789
IL1B_CD4Trm_Frequency_V4a,IL1B,CD4Trm,Frequency,V4a,0.503446503,0.926387789
IL1B_CD8Trm_ERK_V4a,IL1B,CD8Trm,ERK,V4a,0.503446503,0.926387789
IL1B_mDC_STAT3_V4a,IL1B,mDC,STAT3,V4a,0.503446503,0.926387789
IL1B_NK-Tcells_NFkB_V4a,IL1B,NK-Tcells,NFkB,V4a,0.503446503,0.926387789
IL1B_Th17_IkB_V4a,IL1B,Th17,IkB,V4a,0.503446503,0.926387789
LPS_intMC_STAT3_V4a,LPS,intMC,STAT3,V4a,0.503446503,0.926387789
TNFa_Tregnaive_CREB_V4a,TNFa,Tregnaive,CREB,V4a,0.503446503,0.926387789
Unstim_Th1mem_CREB_V5,Unstim,Th1mem,CREB,V5,0.503446503,0.923554663
TNFa_CD56dimCD16pos-NK_STAT5_V4a,TNFa,CD56dimCD16pos-NK,STAT5,V4a,0.505326962,0.929137113
Unstim_Th1naive_IkB_V4b,Unstim,Th1naive,IkB,V4b,0.506008229,0.841743311
Unstim_intMC_p38_V4a,Unstim,intMC,p38,V4a,0.516575596,0.931058063
PI_Baso +++_NFkB_V4a,PI,Baso +++,NFkB,V4a,0.517724372,0.931058063
PI_CD4Tem_MAPKAPK2_V4a,PI,CD4Tem,MAPKAPK2,V4a,0.517724372,0.931058063
IL246_NK-Tcells_STAT3_V4a,IL246,NK-Tcells,STAT3,V4a,0.520276372,0.931058063
IFNa_Bcells_Frequency_V4a,IFNa,Bcells,Frequency,V4a,0.521203288,0.931058063
IFNa_CD4Trm_IkB_V4a,IFNa,CD4Trm,IkB,V4a,0.521203288,0.931058063
IFNa_CD56dimCD16pos-NK_CREB_V4a,IFNa,CD56dimCD16pos-NK,CREB,V4a,0.521203288,0.931058063
IFNa_CD8Tnaive_NFkB_V4a,IFNa,CD8Tnaive,NFkB,V4a,0.521203288,0.931058063
IFNa_CD8Trm_CREB_V4a,IFNa,CD8Trm,CREB,V4a,0.521203288,0.931058063
IFNa_Granulocytes_STAT1_V4a,IFNa,Granulocytes,STAT1,V4a,0.521203288,0.931058063
IFNa_intMC_Frequency_V4a,IFNa,intMC,Frequency,V4a,0.521203288,0.931058063
IFNa_ncMC_STAT1_V4a,IFNa,ncMC,STAT1,V4a,0.521203288,0.931058063
IFNa_Th17_STAT5_V4a,IFNa,Th17,STAT5,V4a,0.521203288,0.931058063
IL246_Baso +++_IkB_V4a,IL246,Baso +++,IkB,V4a,0.521203288,0.931058063
IL246_CD4Tcm_IkB_V4a,IL246,CD4Tcm,IkB,V4a,0.521203288,0.931058063
IL246_CD4Tcm_STAT1_V4a,IL246,CD4Tcm,STAT1,V4a,0.521203288,0.931058063
IL246_CD4Tnaive_MAPKAPK2_V4a,IL246,CD4Tnaive,MAPKAPK2,V4a,0.521203288,0.931058063
IL246_CD8Tcm_Frequency_V4a,IL246,CD8Tcm,Frequency,V4a,0.521203288,0.931058063
IL246_mDC_CREB_V4a,IL246,mDC,CREB,V4a,0.521203288,0.931058063
IL246_NK-Tcells_S6_V4a,IL246,NK-Tcells,S6,V4a,0.521203288,0.931058063
IL246_Th2_pSTAT6_V4a,IL246,Th2,pSTAT6,V4a,0.521203288,0.931058063
LPS_CD4Trm_CREB_V4a,LPS,CD4Trm,CREB,V4a,0.521203288,0.931058063
LPS_CD56brightCD16neg-NK_Frequency_V4a,LPS,CD56brightCD16neg-NK,Frequency,V4a,0.521203288,0.931058063
LPS_CD8Tnaive_IkB_V4a,LPS,CD8Tnaive,IkB,V4a,0.521203288,0.931058063
LPS_cMC_CREB_V4a,LPS,cMC,CREB,V4a,0.521203288,0.931058063
LPS_gdT_ERK_V4a,LPS,gdT,ERK,V4a,0.521203288,0.931058063
LPS_Granulocytes_ERK_V4a,LPS,Granulocytes,ERK,V4a,0.521203288,0.931058063
LPS_mDC_p38_V4a,LPS,mDC,p38,V4a,0.521203288,0.931058063
LPS_mDC_S6_V4a,LPS,mDC,S6,V4a,0.521203288,0.931058063
LPS_Th17_pSTAT6_V4a,LPS,Th17,pSTAT6,V4a,0.521203288,0.931058063
TNFa_Baso +++_STAT5_V4a,TNFa,Baso +++,STAT5,V4a,0.521203288,0.931058063
TNFa_CD8Tem_ERK_V4a,TNFa,CD8Tem,ERK,V4a,0.521203288,0.931058063
TNFa_CD8Tnaive_IkB_V4a,TNFa,CD8Tnaive,IkB,V4a,0.521203288,0.931058063
TNFa_MDSC_p38_V4a,TNFa,MDSC,p38,V4a,0.521203288,0.931058063
TNFa_Treg_STAT5_V4a,TNFa,Treg,STAT5,V4a,0.521203288,0.931058063
Unstim_CD8Trm_MAPKAPK2_V4a,Unstim,CD8Trm,MAPKAPK2,V4a,0.521203288,0.931058063
Unstim_Th17_MAPKAPK2_V4a,Unstim,Th17,MAPKAPK2,V4a,0.521203288,0.931058063
Unstim_Bcells_MAPKAPK2_V4b,Unstim,Bcells,MAPKAPK2,V4b,0.521203288,0.841743311
Unstim_CD4Tnaive_STAT5_V4b,Unstim,CD4Tnaive,STAT5,V4b,0.521203288,0.841743311
Unstim_CD56brightCD16neg-NK_Frequency_V4b,Unstim,CD56brightCD16neg-NK,Frequency,V4b,0.521203288,0.841743311
Unstim_CD8Tnaive_Frequency_V4b,Unstim,CD8Tnaive,Frequency,V4b,0.521203288,0.841743311
Unstim_Eosino_IkB_V4b,Unstim,Eosino,IkB,V4b,0.521203288,0.841743311
Unstim_Th17_IkB_V4b,Unstim,Th17,IkB,V4b,0.521203288,0.841743311
Unstim_Th17_STAT5_V4b,Unstim,Th17,STAT5,V4b,0.521203288,0.841743311
Unstim_CD4Tcm_IkB_V5,Unstim,CD4Tcm,IkB,V5,0.521203288,0.923554663
Unstim_CD8Tem_Frequency_V5,Unstim,CD8Tem,Frequency,V5,0.521203288,0.923554663
Unstim_Treg_S6_V5,Unstim,Treg,S6,V5,0.521203288,0.923554663
IL1B_Tregmem_p38_V4a,IL1B,Tregmem,p38,V4a,0.522144487,0.931058063
IFNa_pDC_CREB_V4a,IFNa,pDC,CREB,V4a,0.524567017,0.931058063
IL1B_Bcells_S6_V4a,IL1B,Bcells,S6,V4a,0.524567017,0.931058063
IL1B_CD56dimCD16pos-NK_S6_V4a,IL1B,CD56dimCD16pos-NK,S6,V4a,0.524567017,0.931058063
IL1B_CD8Tcm_CREB_V4a,IL1B,CD8Tcm,CREB,V4a,0.524567017,0.931058063
IL1B_Eosino_Frequency_V4a,IL1B,Eosino,Frequency,V4a,0.524567017,0.931058063
IL1B_MDSC_NFkB_V4a,IL1B,MDSC,NFkB,V4a,0.524567017,0.931058063
IL1B_Th1_IkB_V4a,IL1B,Th1,IkB,V4a,0.524567017,0.931058063
IL1B_Tregnaive_IkB_V4a,IL1B,Tregnaive,IkB,V4a,0.524567017,0.931058063
IL246_Th1mem_p38_V4a,IL246,Th1mem,p38,V4a,0.524567017,0.931058063
IL1B_intMC_MAPKAPK2_V4a,IL1B,intMC,MAPKAPK2,V4a,0.528148189,0.936032715
IL1B_Th1mem_ERK_V4a,IL1B,Th1mem,ERK,V4a,0.528148189,0.936032715
Unstim_CD56brightCD16neg-NK_ERK_V5,Unstim,CD56brightCD16neg-NK,ERK,V5,0.529152181,0.923554663
Unstim_gdT_p38_V4a,Unstim,gdT,p38,V4a,0.530713079,0.93877561
Unstim_gdT_p38_V4b,Unstim,gdT,p38,V4b,0.530713079,0.851336529
Unstim_gdT_p38_V5,Unstim,gdT,p38,V5,0.530713079,0.923554663
PI_Baso_pSTAT6_V4a,PI,Baso,pSTAT6,V4a,0.531481214,0.93877561
IL1B_gdT_STAT5_V4a,IL1B,gdT,STAT5,V4a,0.533943529,0.93877561
Unstim_mDC_p38_V4b,Unstim,mDC,p38,V4b,0.534091331,0.851336529
Unstim_Tregnaive_CREB_V4b,Unstim,Tregnaive,CREB,V4b,0.535050512,0.851336529
Unstim_CD8Tnaive_CREB_V4a,Unstim,CD8Tnaive,CREB,V4a,0.53579249,0.93877561
Unstim_CD4Trm_STAT5_V4a,Unstim,CD4Trm,STAT5,V4a,0.536741299,0.93877561
PI_Bcells_MAPKAPK2_V4a,PI,Bcells,MAPKAPK2,V4a,0.540078169,0.93877561
PI_cMC_STAT3_V4a,PI,cMC,STAT3,V4a,0.540078169,0.93877561
PI_Th1mem_Frequency_V4a,PI,Th1mem,Frequency,V4a,0.540078169,0.93877561
PI_Th2_ERK_V4a,PI,Th2,ERK,V4a,0.540078169,0.93877561
Unstim_CD56brightCD16neg-NK_ERK_V4a,Unstim,CD56brightCD16neg-NK,ERK,V4a,0.540199177,0.93877561
PI_Th1naive_MAPKAPK2_V4a,PI,Th1naive,MAPKAPK2,V4a,0.541423283,0.93877561
PI_Th1naive_p38_V4a,PI,Th1naive,p38,V4a,0.541423283,0.93877561
IFNa_Granulocytes_ERK_V4a,IFNa,Granulocytes,ERK,V4a,0.541796485,0.93877561
IFNa_Granulocytes_NFkB_V4a,IFNa,Granulocytes,NFkB,V4a,0.541796485,0.93877561
IFNa_intMC_IkB_V4a,IFNa,intMC,IkB,V4a,0.541796485,0.93877561
IL246_Baso_CREB_V4a,IL246,Baso,CREB,V4a,0.541796485,0.93877561
IL246_CD56dimCD16pos-NK_IkB_V4a,IL246,CD56dimCD16pos-NK,IkB,V4a,0.541796485,0.93877561
LPS_CD4Tnaive_ERK_V4a,LPS,CD4Tnaive,ERK,V4a,0.541796485,0.93877561
LPS_CD4Trm_IkB_V4a,LPS,CD4Trm,IkB,V4a,0.541796485,0.93877561
TNFa_CD4Tnaive_MAPKAPK2_V4a,TNFa,CD4Tnaive,MAPKAPK2,V4a,0.541796485,0.93877561
TNFa_CD8Tcm_NFkB_V4a,TNFa,CD8Tcm,NFkB,V4a,0.541796485,0.93877561
TNFa_cMC_p38_V4a,TNFa,cMC,p38,V4a,0.541796485,0.93877561
TNFa_Eosino_Frequency_V4a,TNFa,Eosino,Frequency,V4a,0.541796485,0.93877561
TNFa_Eosino_MAPKAPK2_V4a,TNFa,Eosino,MAPKAPK2,V4a,0.541796485,0.93877561
TNFa_Granulocytes_p38_V4a,TNFa,Granulocytes,p38,V4a,0.541796485,0.93877561
TNFa_Th2_pSTAT6_V4a,TNFa,Th2,pSTAT6,V4a,0.541796485,0.93877561
Unstim_CD4Tcm_MAPKAPK2_V4a,Unstim,CD4Tcm,MAPKAPK2,V4a,0.541796485,0.93877561
Unstim_Eosino_Frequency_V4a,Unstim,Eosino,Frequency,V4a,0.541796485,0.93877561
Unstim_Th17_Frequency_V4a,Unstim,Th17,Frequency,V4a,0.541796485,0.93877561
Unstim_Th1mem_CREB_V4a,Unstim,Th1mem,CREB,V4a,0.541796485,0.93877561
Unstim_Th1mem_Frequency_V4a,Unstim,Th1mem,Frequency,V4a,0.541796485,0.93877561
Unstim_CD56brightCD16neg-NK_IkB_V4b,Unstim,CD56brightCD16neg-NK,IkB,V4b,0.541796485,0.852092373
Unstim_CD8Tem_IkB_V4b,Unstim,CD8Tem,IkB,V4b,0.541796485,0.852092373
Unstim_CD4Trm_pSTAT6_V5,Unstim,CD4Trm,pSTAT6,V5,0.541796485,0.923554663
Unstim_CD8Tcm_IkB_V5,Unstim,CD8Tcm,IkB,V5,0.541796485,0.923554663
Unstim_CD8Tcm_NFkB_V5,Unstim,CD8Tcm,NFkB,V5,0.541796485,0.923554663
Unstim_CD8Trm_NFkB_V5,Unstim,CD8Trm,NFkB,V5,0.541796485,0.923554663
Unstim_cMC_IkB_V5,Unstim,cMC,IkB,V5,0.541796485,0.923554663
Unstim_NK-Tcells_S6_V5,Unstim,NK-Tcells,S6,V5,0.541796485,0.923554663
Unstim_Th17_Frequency_V5,Unstim,Th17,Frequency,V5,0.541796485,0.923554663
Unstim_Th1naive_STAT5_V5,Unstim,Th1naive,STAT5,V5,0.541796485,0.923554663
Unstim_Th2_MAPKAPK2_V5,Unstim,Th2,MAPKAPK2,V5,0.541796485,0.923554663
IL1B_Baso +++_pSTAT6_V4a,IL1B,Baso +++,pSTAT6,V4a,0.54253954,0.939386316
LPS_Baso_pSTAT6_V4a,LPS,Baso,pSTAT6,V4a,0.543076692,0.939639888
Unstim_Tregmem_CREB_V4b,Unstim,Tregmem,CREB,V4b,0.543439718,0.852092373
IFNa_pDC_IkB_V4a,IFNa,pDC,IkB,V4a,0.546120667,0.940845418
IL1B_Baso +++_CREB_V4a,IL1B,Baso +++,CREB,V4a,0.546120667,0.940845418
IL1B_cMC_NFkB_V4a,IL1B,cMC,NFkB,V4a,0.546120667,0.940845418
IL1B_Th17_STAT5_V4a,IL1B,Th17,STAT5,V4a,0.546120667,0.940845418
IL1B_Tregnaive_S6_V4a,IL1B,Tregnaive,S6,V4a,0.546120667,0.940845418
IL246_Th1mem_IkB_V4a,IL246,Th1mem,IkB,V4a,0.546120667,0.940845418
Unstim_Th1mem_ERK_V5,Unstim,Th1mem,ERK,V5,0.546120667,0.923554663
Unstim_CD8Tem_STAT5_V5,Unstim,CD8Tem,STAT5,V5,0.547493295,0.923554663
Unstim_CD8Tcm_STAT5_V4b,Unstim,CD8Tcm,STAT5,V4b,0.547725376,0.854663268
IL1B_Th1naive_IkB_V4a,IL1B,Th1naive,IkB,V4a,0.550758495,0.947344098
TNFa_CD8Trm_STAT5_V4a,TNFa,CD8Trm,STAT5,V4a,0.556911722,0.947344098
Unstim_MDSC_STAT5_V4a,Unstim,MDSC,STAT5,V4a,0.556911722,0.947344098
Unstim_Eosino_CREB_V5,Unstim,Eosino,CREB,V5,0.558235218,0.923554663
Unstim_CD56dimCD16pos-NK_ERK_V4a,Unstim,CD56dimCD16pos-NK,ERK,V4a,0.559894085,0.947344098
IFNa_Baso +++_STAT5_V4a,IFNa,Baso +++,STAT5,V4a,0.56277743,0.947344098
IFNa_CD4Tnaive_STAT5_V4a,IFNa,CD4Tnaive,STAT5,V4a,0.56277743,0.947344098
IFNa_CD56dimCD16pos-NK_STAT1_V4a,IFNa,CD56dimCD16pos-NK,STAT1,V4a,0.56277743,0.947344098
IFNa_gdT_S6_V4a,IFNa,gdT,S6,V4a,0.56277743,0.947344098
IFNa_ncMC_Frequency_V4a,IFNa,ncMC,Frequency,V4a,0.56277743,0.947344098
IFNa_Tregmem_S6_V4a,IFNa,Tregmem,S6,V4a,0.56277743,0.947344098
IL246_CD8Tcm_CREB_V4a,IL246,CD8Tcm,CREB,V4a,0.56277743,0.947344098
IL246_cMC_pSTAT6_V4a,IL246,cMC,pSTAT6,V4a,0.56277743,0.947344098
IL246_mDC_IkB_V4a,IL246,mDC,IkB,V4a,0.56277743,0.947344098
IL246_Th2_NFkB_V4a,IL246,Th2,NFkB,V4a,0.56277743,0.947344098
LPS_CD4Tem_ERK_V4a,LPS,CD4Tem,ERK,V4a,0.56277743,0.947344098
LPS_CD4Tem_MAPKAPK2_V4a,LPS,CD4Tem,MAPKAPK2,V4a,0.56277743,0.947344098
LPS_CD8Tcm_MAPKAPK2_V4a,LPS,CD8Tcm,MAPKAPK2,V4a,0.56277743,0.947344098
LPS_cMC_Frequency_V4a,LPS,cMC,Frequency,V4a,0.56277743,0.947344098
LPS_Granulocytes_CREB_V4a,LPS,Granulocytes,CREB,V4a,0.56277743,0.947344098
LPS_Th17_STAT5_V4a,LPS,Th17,STAT5,V4a,0.56277743,0.947344098
LPS_Th1mem_ERK_V4a,LPS,Th1mem,ERK,V4a,0.56277743,0.947344098
LPS_Th2_pSTAT6_V4a,LPS,Th2,pSTAT6,V4a,0.56277743,0.947344098
TNFa_CD4Tem_MAPKAPK2_V4a,TNFa,CD4Tem,MAPKAPK2,V4a,0.56277743,0.947344098
TNFa_CD4Tem_pSTAT6_V4a,TNFa,CD4Tem,pSTAT6,V4a,0.56277743,0.947344098
TNFa_CD4Tnaive_Frequency_V4a,TNFa,CD4Tnaive,Frequency,V4a,0.56277743,0.947344098
TNFa_CD8Tnaive_STAT5_V4a,TNFa,CD8Tnaive,STAT5,V4a,0.56277743,0.947344098
TNFa_cMC_IkB_V4a,TNFa,cMC,IkB,V4a,0.56277743,0.947344098
TNFa_Th2_Frequency_V4a,TNFa,Th2,Frequency,V4a,0.56277743,0.947344098
Unstim_cMC_Frequency_V4a,Unstim,cMC,Frequency,V4a,0.56277743,0.947344098
Unstim_mDC_MAPKAPK2_V4a,Unstim,mDC,MAPKAPK2,V4a,0.56277743,0.947344098
Unstim_MDSC_NFkB_V4a,Unstim,MDSC,NFkB,V4a,0.56277743,0.947344098
Unstim_ncMC_MAPKAPK2_V4a,Unstim,ncMC,MAPKAPK2,V4a,0.56277743,0.947344098
Unstim_Granulocytes_NFkB_V4b,Unstim,Granulocytes,NFkB,V4b,0.56277743,0.861502891
Unstim_ncMC_S6_V4b,Unstim,ncMC,S6,V4b,0.56277743,0.861502891
Unstim_Th1mem_CREB_V4b,Unstim,Th1mem,CREB,V4b,0.56277743,0.861502891
Unstim_Tregmem_Frequency_V4b,Unstim,Tregmem,Frequency,V4b,0.56277743,0.861502891
Unstim_Baso +++_S6_V5,Unstim,Baso +++,S6,V5,0.56277743,0.923554663
Unstim_CD8Tcm_MAPKAPK2_V5,Unstim,CD8Tcm,MAPKAPK2,V5,0.56277743,0.923554663
Unstim_CD8Tem_NFkB_V5,Unstim,CD8Tem,NFkB,V5,0.56277743,0.923554663
Unstim_Th1_S6_V5,Unstim,Th1,S6,V5,0.56277743,0.923554663
